Processing batch: 200 images across 10 states...
  state: us_california_dl
  state: us_pennsylvania_dl
  state: us_north_carolina_dl
  state: us_arizona_dl
  state: us_wisconsin_dl
  state: us_utah_dl
  state: us_nevada_dl
  state: us_west_virginia_dl
  state: us_south_dakota_dl
  state: us_dc_dl

=== Per-State Per-Field Accuracy (SIMPLE | PRODUCTION | REGION) ===

STATE                  FIELD         N   SIMPLE     PROD   REGION    P-Δ    R-Δ
us_utah_dl             list_2        4   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_utah_dl             list_3        4    25.0%   100.0%   100.0% +75.0%  +0.0%
us_utah_dl             list_4a       4   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_utah_dl             list_4b       4   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_utah_dl             list_4d       4    25.0%    25.0%   100.0%  +0.0% +75.0%
us_utah_dl             list_8f       4    75.0%    75.0%   100.0%  +0.0% +25.0%
us_utah_dl             list_8s       4   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_utah_dl             list_9        4     0.0%     0.0%   100.0%  +0.0% +100.0%
us_utah_dl             list_9a       4     0.0%   100.0%   100.0% +100.0%  +0.0%
us_utah_dl             list_12       4     0.0%   100.0%     0.0% +100.0% -100.0%
us_utah_dl             list_15       4     0.0%   100.0%   100.0% +100.0%  +0.0%
us_utah_dl             list_16       4     0.0%     0.0%   100.0%  +0.0% +100.0%
us_utah_dl             list_17       4     0.0%     0.0%   100.0%  +0.0% +100.0%
us_utah_dl             list_18       4     0.0%     0.0%   100.0%  +0.0% +100.0%
us_utah_dl             list_19       4     0.0%     0.0%   100.0%  +0.0% +100.0%
us_west_virginia_dl    list_1        1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_west_virginia_dl    list_2        1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_west_virginia_dl    list_3        1     0.0%   100.0%   100.0% +100.0%  +0.0%
us_west_virginia_dl    list_4a       1     0.0%   100.0%   100.0% +100.0%  +0.0%
us_west_virginia_dl    list_4b       1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_west_virginia_dl    list_4d       1     0.0%   100.0%   100.0% +100.0%  +0.0%
us_west_virginia_dl    list_8f       1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_west_virginia_dl    list_8s       1   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_west_virginia_dl    list_9        1     0.0%     0.0%     0.0%  +0.0%  +0.0%
us_west_virginia_dl    list_9a       1     0.0%   100.0%   100.0% +100.0%  +0.0%
us_west_virginia_dl    list_12       1     0.0%     0.0%     0.0%  +0.0%  +0.0%
us_west_virginia_dl    list_15       1     0.0%   100.0%   100.0% +100.0%  +0.0%
us_west_virginia_dl    list_16       1     0.0%     0.0%     0.0%  +0.0%  +0.0%
us_west_virginia_dl    list_17       1     0.0%     0.0%   100.0%  +0.0% +100.0%
us_west_virginia_dl    list_18       1     0.0%     0.0%   100.0%  +0.0% +100.0%
us_wisconsin_dl        list_1        3    66.7%   100.0%   100.0% +33.3%  +0.0%
us_wisconsin_dl        list_2        3    66.7%   100.0%   100.0% +33.3%  +0.0%
us_wisconsin_dl        list_3        3     0.0%   100.0%   100.0% +100.0%  +0.0%
us_wisconsin_dl        list_4a       3     0.0%   100.0%   100.0% +100.0%  +0.0%
us_wisconsin_dl        list_4b       3     0.0%   100.0%   100.0% +100.0%  +0.0%
us_wisconsin_dl        list_4d       3   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_wisconsin_dl        list_8f       3    66.7%    66.7%   100.0%  +0.0% +33.3%
us_wisconsin_dl        list_8s       3   100.0%   100.0%   100.0%  +0.0%  +0.0%
us_wisconsin_dl        list_9        1   100.0%   100.0%     0.0%  +0.0% -100.0%
us_wisconsin_dl        list_15       3     0.0%   100.0%   100.0% +100.0%  +0.0%
us_wisconsin_dl        list_16       3     0.0%     0.0%     0.0%  +0.0%  +0.0%
us_wisconsin_dl        list_17       3     0.0%    33.3%   100.0% +33.3% +66.7%
us_wisconsin_dl        list_18       3     0.0%     0.0%   100.0%  +0.0% +100.0%
us_wisconsin_dl        list_19       3     0.0%     0.0%   100.0%  +0.0% +100.0%

=== Per-State Roll-Up ===

  us_arizona_dl          N=  60  PROD= 81.7%  REGION= 97.8%  COMBINED= 98.2%  (best Δ vs PROD=+16.6%)
  us_california_dl       N= 624  PROD= 81.2%  REGION= 99.0%  COMBINED= 99.2%  (best Δ vs PROD=+17.9%)
  us_nevada_dl           N=  37  PROD= 64.9%  REGION= 88.9%  COMBINED= 89.2%  (best Δ vs PROD=+24.3%)
  us_north_carolina_dl   N= 130  PROD= 78.5%  REGION= 99.2%  COMBINED= 93.8%  (best Δ vs PROD=+15.4%)
  us_pennsylvania_dl     N= 143  PROD= 67.8%  REGION= 97.3%  COMBINED= 76.9%  (best Δ vs PROD= +9.1%)
  us_south_dakota_dl     N=  15  PROD= 80.0%  REGION=100.0%  COMBINED= 93.3%  (best Δ vs PROD=+13.3%)
  us_utah_dl             N=  64  PROD= 62.5%  REGION= 98.2%  COMBINED= 95.3%  (best Δ vs PROD=+32.8%)
  us_west_virginia_dl    N=  15  PROD= 66.7%  REGION= 92.3%  COMBINED= 80.0%  (best Δ vs PROD=+13.3%)
  us_wisconsin_dl        N=  40  PROD= 70.0%  REGION=100.0%  COMBINED= 92.5%  (best Δ vs PROD=+22.5%)

=== Per-Field Roll-Up (all states) ===

  list_1     N=  75  PROD= 40.0%  REGION= 98.7%  COMBINED= 98.7%  (best Δ vs PROD=+58.7%)
  list_2     N=  75  PROD= 45.3%  REGION= 93.3%  COMBINED= 93.3%  (best Δ vs PROD=+48.0%)
  list_3     N=  75  PROD=100.0%  REGION= 97.3%  COMBINED= 97.3%  (best Δ vs PROD= -2.7%)
  list_4a    N=  75  PROD= 98.7%  REGION=100.0%  COMBINED=100.0%  (best Δ vs PROD= +1.3%)
  list_4b    N=  75  PROD=100.0%  REGION=100.0%  COMBINED=100.0%  (best Δ vs PROD= +0.0%)
  list_4d    N=  75  PROD= 46.7%  REGION=100.0%  COMBINED=100.0%  (best Δ vs PROD=+53.3%)
  list_8f    N=  75  PROD= 88.0%  REGION=100.0%  COMBINED=100.0%  (best Δ vs PROD=+12.0%)
  list_8s    N=  64  PROD= 96.9%  REGION= 95.3%  COMBINED= 95.3%  (best Δ vs PROD= -1.6%)
  list_9     N=  65  PROD= 69.2%  REGION= 87.5%  COMBINED= 78.5%  (best Δ vs PROD= +9.2%)
  list_9a    N=  69  PROD=100.0%  REGION=100.0%  COMBINED=100.0%  (best Δ vs PROD= +0.0%)
  list_12    N=  69  PROD= 82.6%  REGION=100.0%  COMBINED= 82.6%  (best Δ vs PROD= +0.0%)
  list_15    N=  73  PROD=100.0%  REGION=100.0%  COMBINED=100.0%  (best Δ vs PROD= +0.0%)
  list_16    N=  75  PROD= 57.3%  REGION= 85.2%  COMBINED= 66.7%  (best Δ vs PROD= +9.3%)
  list_17    N=  55  PROD= 83.6%  REGION=100.0%  COMBINED=100.0%  (best Δ vs PROD=+16.4%)
  list_18    N=  75  PROD= 56.0%  REGION=100.0%  COMBINED=100.0%  (best Δ vs PROD=+44.0%)
  list_19    N=  58  PROD= 74.1%  REGION=100.0%  COMBINED=100.0%  (best Δ vs PROD=+25.9%)

=== Divergence Examples (PROD vs REGION) ===

  list_1:
    [us_california_dl] want='MENDOZA'  prod='LN MENDOZA'  region='MENDOZA'
    [us_california_dl] want='MARTIN'  prod='LN MARTIN'  region='MARTIN'
    [us_california_dl] want='CARLOS'  prod='LNCARLOS'  region='CARLOS'
    [us_california_dl] want='JOHNSON'  prod='INJOHNSON'  region='JOHNSON'
    [us_california_dl] want='CHUNG'  prod='LNCHUNG'  region='CHUNG'
  list_16:
    [us_pennsylvania_dl] want='7\'-01"'  prod='HGT 7\'-01"'  region="7'-01''"
    [us_pennsylvania_dl] want='6\'-07"'  prod='HGT 6\'-07"'  region="6'-07''"
    [us_north_carolina_dl] want='6\'-03"'  prod='HGT 6\'-03"'  region="6'-03''"
    [us_north_carolina_dl] want='7\'-06"'  prod='HGT 7\'-06"'  region="7'-06''"
    [us_north_carolina_dl] want='6\'-06"'  prod='HGT 6\'-06"'  region='.90-.9'
  list_17:
    [us_wisconsin_dl] want='146 LB'  prod='WGT 146lb'  region='146 LB'
    [us_wisconsin_dl] want='206 LB'  prod='WGT 206 lb'  region='206 LB'
    [us_utah_dl] want='159 LB'  prod='WGT 159 lb'  region='159 LB'
    [us_utah_dl] want='154 LB'  prod='WGT 154 lb'  region='154 LB'
    [us_utah_dl] want='123 LB'  prod='WGT 123 lb'  region='123 LB'
  list_18:
    [us_california_dl] want='GRA'  prod='EYES GRA'  region='GRA'
